scenario,target_r,transition,from_session,to_session,trades,mean_net_R,sum_net_R,pf_net,tp_pct,positive_years,active_years
S10_C6,0.5,doz_activation_to_contact,TRANSITION,NY_AM,4,0.45363702877610446,1.8145481151044178,inf,100.0,3,3
S10_C6,0.5,doz_activation_to_contact,TRANSITION,NY_PM,1,-0.5466778805718877,-0.5466778805718877,0.0,0.0,0,1
S10_C6,0.5,doz_activation_to_contact,TRANSITION,TRANSITION,1,0.4591558883594296,0.4591558883594296,inf,100.0,1,1
S10_C6,0.5,doz_activation_to_entry,ASIA_CME,ASIA_CME,21,0.16898294312221923,3.5486418055666036,1.9225220563224763,76.19047619047619,10,12
S10_C6,0.5,doz_activation_to_entry,ASIA_CME,LONDON,21,0.16288440340263866,3.4205724714554115,1.8085478154763917,80.95238095238095,9,11
S10_C6,0.5,doz_activation_to_entry,ASIA_CME,NY_AM,25,0.09764871223944019,2.4412178059860046,1.3851278871325186,76.0,7,11
S10_C6,0.5,doz_activation_to_entry,ASIA_CME,NY_PM,5,-0.1299878714241029,-0.6499393571205145,0.6847738561552595,60.0,3,5
S10_C6,0.5,doz_activation_to_entry,LONDON,ASIA_CME,9,0.13216940054990645,1.1895246049491581,1.578741619220692,77.77777777777779,4,6
S10_C6,0.5,doz_activation_to_entry,LONDON,LONDON,10,0.15923687290323935,1.5923687290323936,1.7572409157797997,80.0,5,7
S10_C6,0.5,doz_activation_to_entry,LONDON,NY_AM,40,0.23216072411284677,9.28642896451387,2.4944164402944344,85.0,10,14
S10_C6,0.5,doz_activation_to_entry,LONDON,NY_PM,12,0.13882038575411126,1.6658446290493352,1.6777415779516776,75.0,5,8
S10_C6,0.5,doz_activation_to_entry,LONDON,TRANSITION,1,0.4790209790209799,0.4790209790209799,inf,100.0,1,1
S10_C6,0.5,doz_activation_to_entry,NY_AM,ASIA_CME,26,0.12401944131035827,3.224505474069315,1.5497821823879052,76.92307692307693,6,10
S10_C6,0.5,doz_activation_to_entry,NY_AM,LONDON,19,0.2994903799467153,5.69031721898759,3.7505608546153857,89.47368421052632,9,11
S10_C6,0.5,doz_activation_to_entry,NY_AM,NY_AM,33,0.09963607395165591,3.287990440404645,1.3960377513866111,75.75757575757575,9,14
S10_C6,0.5,doz_activation_to_entry,NY_AM,NY_PM,21,-0.0317737519798184,-0.6672487915761864,0.9079300941527517,66.66666666666666,6,13
S10_C6,0.5,doz_activation_to_entry,NY_AM,TRANSITION,5,-0.2659051855330763,-1.3295259276653815,0.3495264798671658,20.0,3,4
S10_C6,0.5,doz_activation_to_entry,NY_PM,ASIA_CME,17,-0.030816437654159444,-0.5238794401207105,0.904742763446467,64.70588235294117,6,10
S10_C6,0.5,doz_activation_to_entry,NY_PM,LONDON,11,0.051168739026711686,0.5628561292938286,1.180659400153468,72.72727272727273,7,10
S10_C6,0.5,doz_activation_to_entry,NY_PM,NY_AM,14,0.14815690216922958,2.0741966303692143,1.6752142462863107,78.57142857142857,7,9
S10_C6,0.5,doz_activation_to_entry,NY_PM,TRANSITION,1,-0.677435465092298,-0.677435465092298,0.0,0.0,0,1
S10_C6,0.5,doz_activation_to_entry,TRANSITION,ASIA_CME,7,0.22594735749174905,1.5816315024422434,2.5328031565988995,71.42857142857143,5,6
S10_C6,0.5,doz_activation_to_entry,TRANSITION,NY_AM,4,0.45363702877610446,1.8145481151044178,inf,100.0,3,3
S10_C6,0.5,doz_activation_to_entry,TRANSITION,NY_PM,1,-0.5466778805718877,-0.5466778805718877,0.0,0.0,0,1
S10_C6,0.5,doz_activation_to_entry,TRANSITION,TRANSITION,1,0.4591558883594296,0.4591558883594296,inf,100.0,1,1
S10_C6,0.5,doz_origin_to_entry,ASIA_CME,ASIA_CME,17,0.24315849940793507,4.133694489934896,2.783922093033059,82.35294117647058,8,10
S10_C6,0.5,doz_origin_to_entry,ASIA_CME,LONDON,16,-0.024613231297064164,-0.39381170075302663,0.9252401277146186,68.75,5,9
S10_C6,0.5,doz_origin_to_entry,ASIA_CME,NY_AM,40,0.12375758760251787,4.950303504100715,1.5234962461714092,77.5,9,15
S10_C6,0.5,doz_origin_to_entry,ASIA_CME,NY_PM,9,0.13316471595167115,1.1984824435650403,1.5812742296825975,77.77777777777779,6,8
S10_C6,0.5,doz_origin_to_entry,ASIA_CME,TRANSITION,1,0.4790209790209799,0.4790209790209799,inf,100.0,1,1
S10_C6,0.5,doz_origin_to_entry,LONDON,ASIA_CME,18,0.2074395968975402,3.733912744155724,2.1640231605401548,83.33333333333334,8,10
S10_C6,0.5,doz_origin_to_entry,LONDON,LONDON,21,0.24711186504080246,5.189349165856852,2.6555769064907113,85.71428571428571,8,11
S10_C6,0.5,doz_origin_to_entry,LONDON,NY_AM,41,0.27374679366065036,11.223618540086665,3.175683452532422,87.8048780487805,12,14
S10_C6,0.5,doz_origin_to_entry,LONDON,NY_PM,22,-0.05027462809753346,-1.106041818145736,0.855471799510166,63.63636363636363,6,14
S10_C6,0.5,doz_origin_to_entry,LONDON,TRANSITION,2,-0.4070064371080552,-0.8140128742161103,0.20440933777005338,0.0,1,2
S10_C6,0.5,doz_origin_to_entry,NY_AM,ASIA_CME,21,0.09052084217165149,1.9009376856046813,1.3868695426781779,71.42857142857143,6,10
S10_C6,0.5,doz_origin_to_entry,NY_AM,LONDON,11,0.04055778399721024,0.4461356239693126,1.1431957298120037,72.72727272727273,6,9
S10_C6,0.5,doz_origin_to_entry,NY_AM,NY_AM,19,-0.008232322823359178,-0.1564141336438244,0.9748217593204954,68.42105263157895,6,11
