event_id,source_year,stack_id,zone_id,contact_trading_date,entry_trading_date,contact_idx,confirm_idx,entry_idx,contact_time,confirmation_time,entry_time,direction,representative_lower,representative_upper,representative_center,constituent_count,constituent_zone_ids,constituent_families,constituent_variants,doz_zone_ids,doz_source_timeframes,doz_variants,objective_zone_ids,objective_variants,doz_anchor_zone_id,doz_anchor_variant,doz_anchor_source_tf,doz_anchor_origin_time,doz_anchor_known_time,doz_origin_session,doz_activation_session,doz_structural_age_hours,doz_tradable_age_hours,doz_entry_age_hours,doz_tradable_age_source_bars,doz_tradable_age_bucket,objective_anchor_zone_id,objective_anchor_variant,objective_anchor_source_tf,objective_anchor_origin_time,objective_anchor_known_time,objective_origin_session,objective_activation_session,contact_session,confirmation_session,entry_session,entry_price,stop_price,risk_price,entry_delay_minutes,scenario,scenario_role,spread_usd,commission_rt_usd,annual_input_sha256,audit_runtime_commit,canonical_runner_source_commit,target_r,target_price,exit_idx,exit_time,exit_session,exit_price,gross_R,net_R,result,ambiguous_same_bar,concurrent_open_positions_before_entry
496691d013b6af8920a11ec5,2011,STACK_00076767,DOZ_BODY_00002425,2011-01-11,2011-01-11,540710,540710,540711,2011-01-11T11:50:00+00:00,2011-01-11T11:50:00+00:00,2011-01-11T11:51:00+00:00,SHORT,1384.961,1385.463,1385.212,4,"[""DOZ_BODY_00002425"",""DOZ_BODY_00002428"",""LONDON_H_00002838"",""PDH_00000626""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_BODY"", ""LONDON_HIGH"", ""PDH""]","[""DOZ_BODY_00002425"",""DOZ_BODY_00002428""]","[""15min""]","[""DOZ_BODY""]","[""LONDON_H_00002838"",""PDH_00000626""]","[""LONDON_HIGH"",""PDH""]",DOZ_BODY_00002425,DOZ_BODY,15min,2011-01-04T17:15:00+00:00,2011-01-04T17:30:00+00:00,NY_PM,NY_PM,162.58333333333334,162.33333333333334,162.35,649.3333333333334,3-7d,LONDON_H_00002838,LONDON_HIGH,SESSION,2011-01-05T12:59:00+00:00,2011-01-05T13:00:00+00:00,LONDON,NY_AM,LONDON,LONDON,LONDON,1384.437,1385.663,1.2259999999998854,1,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1383.824,540730,2011-01-11T12:10:00+00:00,LONDON,1383.824,0.5000000000000927,0.4510603588907896,TP,False,0
22af12c00c7f0738800c9379,2011,STACK_00088765,DOZ_LAST_00006510,2011-02-23,2011-02-23,602843,602843,602844,2011-02-23T15:23:00+00:00,2011-02-23T15:23:00+00:00,2011-02-23T15:24:00+00:00,SHORT,1413.646,1415.009,1414.3275,4,"[""DOZ_BASE_00002405"",""DOZ_BASE_00006512"",""DOZ_LAST_00006510"",""LONDON_H_00002828""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_BASE"", ""DOZ_LAST"", ""LONDON_HIGH""]","[""DOZ_BASE_00002405"",""DOZ_BASE_00006512"",""DOZ_LAST_00006510""]","[""15min"",""30min""]","[""DOZ_BASE"",""DOZ_LAST""]","[""LONDON_H_00002828""]","[""LONDON_HIGH""]",DOZ_LAST_00006510,DOZ_LAST,30min,2011-01-04T07:30:00+00:00,2011-01-04T08:30:00+00:00,ASIA_CME,LONDON,1207.8833333333334,1206.8833333333334,1206.9,2413.766666666667,>=30d,LONDON_H_00002828,LONDON_HIGH,SESSION,2011-01-04T12:59:00+00:00,2011-01-04T13:00:00+00:00,LONDON,NY_AM,NY_AM,NY_AM,NY_AM,1413.41,1415.357003061653,1.947003061652822,1,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1412.4364984691738,602852,2011-02-23T15:32:00+00:00,NY_AM,1412.4364984691738,0.4999999999999416,0.4691834074728268,TP,False,0
a242367df1b63b1c4f4e266b,2011,STACK_00091720,DOZ_BODY_00002848,2011-03-07,2011-03-07,620079,620080,620081,2011-03-07T14:39:00+00:00,2011-03-07T14:40:00+00:00,2011-03-07T14:41:00+00:00,LONG,1430.9905,1431.94,1431.4652500000002,7,"[""ASIA_CME_L_00003301"",""DOZ_BASE_00002849"",""DOZ_BASE_00006764"",""DOZ_BODY_00002848"",""DOZ_BODY_00006763"",""DOZ_LAST_00002847"",""DOZ_LAST_00006762""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""ASIA_CME_LOW"", ""DOZ_BASE"", ""DOZ_BODY"", ""DOZ_LAST""]","[""DOZ_BASE_00002849"",""DOZ_BASE_00006764"",""DOZ_BODY_00002848"",""DOZ_BODY_00006763"",""DOZ_LAST_00002847"",""DOZ_LAST_00006762""]","[""15min"",""30min""]","[""DOZ_BASE"",""DOZ_BODY"",""DOZ_LAST""]","[""ASIA_CME_L_00003301""]","[""ASIA_CME_LOW""]",DOZ_BODY_00002848,DOZ_BODY,15min,2011-03-06T23:00:00+00:00,2011-03-06T23:15:00+00:00,ASIA_CME,ASIA_CME,15.65,15.4,15.433333333333334,61.6,12-24h,ASIA_CME_L_00003301,ASIA_CME_LOW,SESSION,2011-03-07T07:59:00+00:00,2011-03-07T08:00:00+00:00,ASIA_CME,LONDON,NY_AM,NY_AM,NY_AM,1433.018,1430.5653844525082,2.45261554749186,2,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1434.244307773746,620082,2011-03-07T14:42:00+00:00,NY_AM,1434.244307773746,0.5,0.4755363207815598,TP,False,0
21cea5b5b4bf23a7613e59c2,2011,STACK_00095436,DOZ_LAST_00002958,2011-03-22,2011-03-22,641581,641581,641582,2011-03-22T13:01:00+00:00,2011-03-22T13:01:00+00:00,2011-03-22T13:02:00+00:00,LONG,1419.2575000000002,1419.6615000000002,1419.4595000000002,6,"[""ASIA_CME_L_00003409"",""DOZ_BASE_00002960"",""DOZ_BASE_00006839"",""DOZ_BODY_00006838"",""DOZ_LAST_00002958"",""DOZ_LAST_00006837""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""ASIA_CME_LOW"", ""DOZ_BASE"", ""DOZ_BODY"", ""DOZ_LAST""]","[""DOZ_BASE_00002960"",""DOZ_BASE_00006839"",""DOZ_BODY_00006838"",""DOZ_LAST_00002958"",""DOZ_LAST_00006837""]","[""15min"",""30min""]","[""DOZ_BASE"",""DOZ_BODY"",""DOZ_LAST""]","[""ASIA_CME_L_00003409""]","[""ASIA_CME_LOW""]",DOZ_LAST_00002958,DOZ_LAST,15min,2011-03-20T21:45:00+00:00,2011-03-20T22:15:00+00:00,TRANSITION,ASIA_CME,39.266666666666666,38.766666666666666,38.78333333333333,155.06666666666666,1-3d,ASIA_CME_L_00003409,ASIA_CME_LOW,SESSION,2011-03-21T06:59:00+00:00,2011-03-21T07:00:00+00:00,ASIA_CME,LONDON,NY_AM,NY_AM,NY_AM,1420.9709999999998,1418.9851934861222,1.985806513877605,1,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1421.9639032569385,641583,2011-03-22T13:03:00+00:00,NY_AM,1421.9639032569385,0.4999999999999427,0.469785575996045,TP,False,0
d25ec7f7b3f3c4c6c6f8684a,2011,STACK_00098193,DOZ_BODY_00006856,2011-03-31,2011-03-31,654532,654532,654533,2011-03-31T12:52:00+00:00,2011-03-31T12:52:00+00:00,2011-03-31T12:53:00+00:00,SHORT,1434.255,1435.301,1434.778,2,"[""DOZ_BODY_00006856"",""NY_PM_H_00003454""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_BODY"", ""NY_PM_HIGH""]","[""DOZ_BODY_00006856""]","[""30min""]","[""DOZ_BODY""]","[""NY_PM_H_00003454""]","[""NY_PM_HIGH""]",DOZ_BODY_00006856,DOZ_BODY,30min,2011-03-25T16:00:00+00:00,2011-03-25T16:30:00+00:00,NY_PM,NY_PM,140.86666666666667,140.36666666666667,140.38333333333333,280.7333333333333,3-7d,NY_PM_H_00003454,NY_PM_HIGH,SESSION,2011-03-25T19:59:00+00:00,2011-03-25T20:00:00+00:00,NY_PM,TRANSITION,NY_AM,NY_AM,NY_AM,1433.937,1435.5160606210193,1.579060621019153,1,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1433.147469689491,654541,2011-03-31T13:01:00+00:00,NY_AM,1435.5160606210193,-1.0,-1.037997274582957,SL,False,0
196823e0658db477b0ffa2ae,2011,STACK_00104570,DOZ_BODY_00006919,2011-04-25,2011-04-25,689640,689640,689641,2011-04-24T22:00:00+00:00,2011-04-24T22:00:00+00:00,2011-04-24T22:01:00+00:00,LONG,1509.219,1509.313,1509.266,6,"[""DOZ_BASE_00003170"",""DOZ_BASE_00006920"",""DOZ_BODY_00006919"",""DOZ_LAST_00003168"",""DOZ_LAST_00006918"",""TRANSITION_H_00003678""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_BASE"", ""DOZ_BODY"", ""DOZ_LAST"", ""TRANSITION_HIGH""]","[""DOZ_BASE_00003170"",""DOZ_BASE_00006920"",""DOZ_BODY_00006919"",""DOZ_LAST_00003168"",""DOZ_LAST_00006918""]","[""15min"",""30min""]","[""DOZ_BASE"",""DOZ_BODY"",""DOZ_LAST""]","[""TRANSITION_H_00003678""]","[""TRANSITION_HIGH""]",DOZ_BODY_00006919,DOZ_BODY,30min,2011-04-24T21:30:00+00:00,2011-04-24T22:00:00+00:00,TRANSITION,ASIA_CME,0.5,0.0,0.0166666666666666,0.0,<1h,TRANSITION_H_00003678,TRANSITION_HIGH,SESSION,2011-04-24T21:55:00+00:00,2011-04-24T22:00:00+00:00,TRANSITION,ASIA_CME,ASIA_CME,ASIA_CME,ASIA_CME,1512.052,1509.019,3.0329999999999018,1,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1513.5685,689740,2011-04-24T23:40:00+00:00,ASIA_CME,1513.5685,0.5,0.4802176063303653,TP,False,0
78d1c9bfca0532992b400133,2011,STACK_00105649,DOZ_LAST_00003174,2011-04-27,2011-04-27,693685,693685,693686,2011-04-27T17:25:00+00:00,2011-04-27T17:25:00+00:00,2011-04-27T17:26:00+00:00,SHORT,1517.1055,1518.14,1517.62275,3,"[""DOZ_LAST_00003174"",""LONDON_H_00003682"",""PDH_00000814""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_LAST"", ""LONDON_HIGH"", ""PDH""]","[""DOZ_LAST_00003174""]","[""15min""]","[""DOZ_LAST""]","[""LONDON_H_00003682"",""PDH_00000814""]","[""LONDON_HIGH"",""PDH""]",DOZ_LAST_00003174,DOZ_LAST,15min,2011-04-25T11:30:00+00:00,2011-04-25T11:45:00+00:00,LONDON,LONDON,53.91666666666666,53.66666666666666,53.68333333333333,214.66666666666663,1-3d,PDH_00000814,PDH,D1,2011-04-25T20:59:00+00:00,2011-04-25T21:00:00+00:00,TRANSITION,TRANSITION,NY_PM,NY_PM,NY_PM,1516.805,1518.5986685519292,1.7936685519291586,1,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1515.9081657240354,693701,2011-04-27T17:41:00+00:00,NY_PM,1518.5986685519292,-1.0,-1.0334509962475886,SL,False,0
2037881182f233604fc8ae42,2011,STACK_00106505,NY_PM_L_00003727,2011-05-02,2011-05-02,699784,699785,699786,2011-05-01T23:04:00+00:00,2011-05-01T23:05:00+00:00,2011-05-01T23:06:00+00:00,LONG,1543.3345,1545.8225000000002,1544.5785,5,"[""DOZ_BASE_00006965"",""DOZ_BASE_00006968"",""DOZ_LAST_00006963"",""DOZ_LAST_00006966"",""NY_PM_L_00003727""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_BASE"", ""DOZ_LAST"", ""NY_PM_LOW""]","[""DOZ_BASE_00006965"",""DOZ_BASE_00006968"",""DOZ_LAST_00006963"",""DOZ_LAST_00006966""]","[""30min""]","[""DOZ_BASE"",""DOZ_LAST""]","[""NY_PM_L_00003727""]","[""NY_PM_LOW""]",DOZ_LAST_00006963,DOZ_LAST,30min,2011-04-29T15:00:00+00:00,2011-04-29T16:30:00+00:00,NY_AM,NY_PM,56.06666666666667,54.56666666666667,54.6,109.13333333333334,1-3d,NY_PM_L_00003727,NY_PM_LOW,SESSION,2011-04-29T19:59:00+00:00,2011-04-29T20:00:00+00:00,NY_PM,TRANSITION,ASIA_CME,ASIA_CME,ASIA_CME,1547.0645,1542.31781430746,4.746685692540041,2,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1549.43784284627,699788,2011-05-01T23:08:00+00:00,ASIA_CME,1549.43784284627,0.500000000000024,0.4873596012278245,TP,False,0
3380bb934a96588060ba7670,2011,STACK_00117749,DOZ_BODY_00007075,2011-06-10,2011-06-10,756794,756794,756795,2011-06-10T13:14:00+00:00,2011-06-10T13:14:00+00:00,2011-06-10T13:15:00+00:00,LONG,1525.35,1526.576,1525.963,3,"[""DOZ_BODY_00007075"",""DOZ_LAST_00007074"",""NY_AM_L_00003997""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_BODY"", ""DOZ_LAST"", ""NY_AM_LOW""]","[""DOZ_BODY_00007075"",""DOZ_LAST_00007074""]","[""30min""]","[""DOZ_BODY"",""DOZ_LAST""]","[""NY_AM_L_00003997""]","[""NY_AM_LOW""]",DOZ_BODY_00007075,DOZ_BODY,30min,2011-06-03T11:00:00+00:00,2011-06-03T13:30:00+00:00,LONDON,NY_AM,170.23333333333332,167.73333333333332,167.75,335.46666666666664,3-7d,NY_AM_L_00003997,NY_AM_LOW,SESSION,2011-06-03T15:59:00+00:00,2011-06-03T16:00:00+00:00,NY_AM,NY_PM,NY_AM,NY_AM,NY_AM,1526.88,1524.9300605553665,1.9499394446334009,1,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1527.8549697223166,756796,2011-06-10T13:16:00+00:00,NY_AM,1527.8549697223166,0.5,0.4692298136923527,TP,False,0
95739e654eb619bdd520ab9a,2011,STACK_00122221,DOZ_LAST_00003573,2011-06-28,2011-06-28,782721,782721,782722,2011-06-28T13:21:00+00:00,2011-06-28T13:21:00+00:00,2011-06-28T13:22:00+00:00,LONG,1497.48,1498.2395,1497.85975,5,"[""DOZ_BASE_00003575"",""DOZ_BASE_00007130"",""DOZ_LAST_00003573"",""DOZ_LAST_00007128"",""LONDON_L_00004181""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_BASE"", ""DOZ_LAST"", ""LONDON_LOW""]","[""DOZ_BASE_00003575"",""DOZ_BASE_00007130"",""DOZ_LAST_00003573"",""DOZ_LAST_00007128""]","[""15min"",""30min""]","[""DOZ_BASE"",""DOZ_LAST""]","[""LONDON_L_00004181""]","[""LONDON_LOW""]",DOZ_LAST_00003573,DOZ_LAST,15min,2011-06-28T07:00:00+00:00,2011-06-28T07:30:00+00:00,LONDON,LONDON,6.35,5.85,5.866666666666666,23.4,4-12h,LONDON_L_00004181,LONDON_LOW,SESSION,2011-06-28T11:59:00+00:00,2011-06-28T12:00:00+00:00,LONDON,NY_AM,NY_AM,NY_AM,NY_AM,1498.562,1497.1952701720788,1.36672982792129,1,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1499.2453649139609,782723,2011-06-28T13:23:00+00:00,NY_AM,1499.2453649139609,0.4999999999999168,0.4560995898572215,TP,False,0
116f6dbc5b172867d72068f5,2011,STACK_00130271,LONDON_H_00004396,2011-07-26,2011-07-26,823161,823171,823172,2011-07-26T15:21:00+00:00,2011-07-26T15:31:00+00:00,2011-07-26T15:32:00+00:00,SHORT,1614.287,1615.487,1614.887,6,"[""DOZ_BASE_00003773"",""DOZ_BODY_00003772"",""DOZ_BODY_00007234"",""DOZ_LAST_00003771"",""DOZ_LAST_00007233"",""LONDON_H_00004396""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_BASE"", ""DOZ_BODY"", ""DOZ_LAST"", ""LONDON_HIGH""]","[""DOZ_BASE_00003773"",""DOZ_BODY_00003772"",""DOZ_BODY_00007234"",""DOZ_LAST_00003771"",""DOZ_LAST_00007233""]","[""15min"",""30min""]","[""DOZ_BASE"",""DOZ_BODY"",""DOZ_LAST""]","[""LONDON_H_00004396""]","[""LONDON_HIGH""]",DOZ_BODY_00003772,DOZ_BODY,15min,2011-07-26T06:30:00+00:00,2011-07-26T07:30:00+00:00,ASIA_CME,LONDON,8.85,7.85,8.033333333333333,31.4,4-12h,LONDON_H_00004396,LONDON_HIGH,SESSION,2011-07-26T11:59:00+00:00,2011-07-26T12:00:00+00:00,LONDON,NY_AM,NY_AM,NY_AM,NY_AM,1613.688,1615.7828933109852,2.0948933109852987,11,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1612.6405533445072,823195,2011-07-26T15:55:00+00:00,NY_AM,1612.6405533445072,0.5,0.4713589232991632,TP,False,0
e667df40ebc807bd143bec38,2011,STACK_00130653,DOZ_BODY_00003778,2011-07-27,2011-07-27,824573,824573,824574,2011-07-27T14:53:00+00:00,2011-07-27T14:53:00+00:00,2011-07-27T14:54:00+00:00,LONG,1613.44,1614.024,1613.732,2,"[""DOZ_BODY_00003778"",""NY_PM_L_00004401""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_BODY"", ""NY_PM_LOW""]","[""DOZ_BODY_00003778""]","[""15min""]","[""DOZ_BODY""]","[""NY_PM_L_00004401""]","[""NY_PM_LOW""]",DOZ_BODY_00003778,DOZ_BODY,15min,2011-07-26T16:45:00+00:00,2011-07-26T17:30:00+00:00,NY_PM,NY_PM,22.133333333333333,21.383333333333333,21.4,85.53333333333333,12-24h,NY_PM_L_00004401,NY_PM_LOW,SESSION,2011-07-26T19:59:00+00:00,2011-07-26T20:00:00+00:00,NY_PM,TRANSITION,NY_AM,NY_AM,NY_AM,1615.356,1613.0875307809304,2.2684692190696296,1,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1616.4902346095348,824575,2011-07-27T14:55:00+00:00,NY_AM,1616.4902346095348,0.5,0.4735504456063953,TP,False,0
491602e2295e9caabf5b99dd,2011,STACK_00148261,DOZ_BODY_00003673,2011-09-26,2011-09-26,911900,911900,911901,2011-09-26T06:20:00+00:00,2011-09-26T06:20:00+00:00,2011-09-26T06:21:00+00:00,LONG,1568.349,1569.064,1568.7065,2,"[""DOZ_BODY_00003673"",""LONDON_L_00004299""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_BODY"", ""LONDON_LOW""]","[""DOZ_BODY_00003673""]","[""15min""]","[""DOZ_BODY""]","[""LONDON_L_00004299""]","[""LONDON_LOW""]",DOZ_BODY_00003673,DOZ_BODY,15min,2011-07-13T07:00:00+00:00,2011-07-13T07:15:00+00:00,LONDON,LONDON,1799.3333333333333,1799.0833333333333,1799.1,7196.333333333333,>=30d,LONDON_L_00004299,LONDON_LOW,SESSION,2011-07-13T11:59:00+00:00,2011-07-13T12:00:00+00:00,LONDON,NY_AM,ASIA_CME,ASIA_CME,ASIA_CME,1570.943,1566.9853210003337,3.9576789996663138,1,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1572.9218394998331,911901,2011-09-26T06:21:00+00:00,ASIA_CME,1572.9218394998331,0.5,0.4848395991678307,TP,False,0
3a0ae8605d4df4b2338f6857,2011,STACK_00149815,NY_PM_H_00004896,2011-09-30,2011-09-30,917395,917399,917400,2011-09-30T01:55:00+00:00,2011-09-30T01:59:00+00:00,2011-09-30T02:00:00+00:00,SHORT,1638.855,1642.043,1640.449,2,"[""DOZ_LAST_00004359"",""NY_PM_H_00004896""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_LAST"", ""NY_PM_HIGH""]","[""DOZ_LAST_00004359""]","[""15min""]","[""DOZ_LAST""]","[""NY_PM_H_00004896""]","[""NY_PM_HIGH""]",DOZ_LAST_00004359,DOZ_LAST,15min,2011-09-28T15:45:00+00:00,2011-09-28T16:15:00+00:00,NY_AM,NY_PM,34.166666666666664,33.666666666666664,33.75,134.66666666666666,1-3d,NY_PM_H_00004896,NY_PM_HIGH,SESSION,2011-09-28T19:59:00+00:00,2011-09-28T20:00:00+00:00,NY_PM,TRANSITION,ASIA_CME,ASIA_CME,ASIA_CME,1638.6535,1642.7821907179691,4.128690717968993,5,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1636.5891546410155,917408,2011-09-30T02:08:00+00:00,ASIA_CME,1636.5891546410155,0.4999999999999724,0.485467547922885,TP,False,0
dd7da7e5b1d6aea14370eeff,2011,STACK_00154367,DOZ_BODY_00004423,2011-10-17,2011-10-17,942581,942582,942583,2011-10-17T13:41:00+00:00,2011-10-17T13:42:00+00:00,2011-10-17T13:43:00+00:00,LONG,1679.32,1680.643,1679.9815,3,"[""DOZ_BODY_00004423"",""DOZ_LAST_00004422"",""LONDON_L_00005035""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_BODY"", ""DOZ_LAST"", ""LONDON_LOW""]","[""DOZ_BODY_00004423"",""DOZ_LAST_00004422""]","[""15min""]","[""DOZ_BODY"",""DOZ_LAST""]","[""LONDON_L_00005035""]","[""LONDON_LOW""]",DOZ_BODY_00004423,DOZ_BODY,15min,2011-10-17T06:30:00+00:00,2011-10-17T07:30:00+00:00,ASIA_CME,LONDON,7.183333333333334,6.183333333333334,6.216666666666667,24.73333333333333,4-12h,LONDON_L_00005035,LONDON_LOW,SESSION,2011-10-17T11:59:00+00:00,2011-10-17T12:00:00+00:00,LONDON,NY_AM,NY_AM,NY_AM,NY_AM,1682.298,1678.89084031106,3.4071596889400557,2,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1684.00157984447,942610,2011-10-17T14:10:00+00:00,NY_AM,1684.00157984447,0.5000000000000334,0.4823900241028762,TP,False,0
077f81bab8a4059cd1e9aebe,2011,STACK_00156743,NY_PM_H_00005038,2011-10-25,2011-10-25,954139,954140,954141,2011-10-25T14:19:00+00:00,2011-10-25T14:20:00+00:00,2011-10-25T14:21:00+00:00,SHORT,1678.0510000000004,1680.2669999999998,1679.159,4,"[""DOZ_BASE_00004427"",""DOZ_BASE_00007613"",""DOZ_LAST_00007611"",""NY_PM_H_00005038""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_BASE"", ""DOZ_LAST"", ""NY_PM_HIGH""]","[""DOZ_BASE_00004427"",""DOZ_BASE_00007613"",""DOZ_LAST_00007611""]","[""15min"",""30min""]","[""DOZ_BASE"",""DOZ_LAST""]","[""NY_PM_H_00005038""]","[""NY_PM_HIGH""]",DOZ_BASE_00004427,DOZ_BASE,15min,2011-10-17T15:30:00+00:00,2011-10-17T16:15:00+00:00,NY_AM,NY_PM,190.81666666666663,190.06666666666663,190.1,760.2666666666667,7-30d,NY_PM_H_00005038,NY_PM_HIGH,SESSION,2011-10-17T19:59:00+00:00,2011-10-17T20:00:00+00:00,NY_PM,TRANSITION,NY_AM,NY_AM,NY_AM,1677.543,1681.071323030909,3.5283230309091778,2,S10_C6,sensitivity,0.1,6.0,95b6feb69ccea4dfa91e37ee1e608b03364e8a8f1efcba57594e298f08e55c92,e323b6b4eb654c16dda1a68559b1e52d4f5cea31,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1675.7788384845453,954147,2011-10-25T14:27:00+00:00,NY_AM,1681.071323030909,-1.0,-1.0170052456859482,SL,False,0
73e04d05b618915ca5adf38d,2012,STACK_00111744,DOZ_BODY_00006424,2012-02-15,2012-02-15,591152,591153,591154,2012-02-15T12:32:00+00:00,2012-02-15T12:33:00+00:00,2012-02-15T12:34:00+00:00,SHORT,1730.923,1731.904,1731.4135,2,"[""DOZ_BODY_00006424"",""PDH_00000714""]","[""DISPLACEMENT_ORIGIN"", ""OBJECTIVE_LIQUIDITY""]","[""DOZ_BODY"", ""PDH""]","[""DOZ_BODY_00006424""]","[""30min""]","[""DOZ_BODY""]","[""PDH_00000714""]","[""PDH""]",DOZ_BODY_00006424,DOZ_BODY,30min,2012-02-13T13:00:00+00:00,2012-02-13T14:00:00+00:00,NY_AM,NY_AM,47.53333333333333,46.53333333333333,46.56666666666667,93.06666666666666,1-3d,PDH_00000714,PDH,D1,2012-02-13T21:59:00+00:00,2012-02-13T22:00:00+00:00,TRANSITION,TRANSITION,LONDON,LONDON,LONDON,1730.5865,1732.1271005274043,1.5406005274041945,2,S10_C6,sensitivity,0.1,6.0,471a77fc4caff8677735645a01f3258a1c7fe140e2a5b94f021775aedd1e6722,bd9aab04e28b0da2cbdb4789be16dabec861122e,6efa3789458a6584054fb3ee923dfccca2e15e9d,0.5,1729.816199736298,591160,2012-02-15T12:40:00+00:00,LONDON,1729.816199736298,0.4999999999999262,0.4610541480852213,TP,False,0
